商品ｺｰﾄﾞ,商品名,商品名索引,単位,得意先(検索)ｺｰﾄﾞ,得意先(検索)名,,
720092I006024,12A000LA NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　TW,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007001,X 13F05099上枠ﾚｰﾙｶﾊﾞｰ(白) L=2000 X,ｳﾜﾜｸﾚｰﾙｶﾊﾞ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007002,X 13F12099上枠ﾚｰﾙｶﾊﾞｰ (白) L=3500 X,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007003,13F13099上枠ﾚｰﾙｶﾊﾞｰ(黒) L=2000,ｳﾜﾜｸﾚｰﾙｶﾊﾞ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007004,13F13099上枠ﾚｰﾙｶﾊﾞｰ (黒) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007005,13F14099上枠ﾚｰﾙｶﾊﾞｰ(ﾌｧｲﾝｸﾞﾚｰ) L=2000,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007006,13F1409上枠ﾚｰﾙｶﾊﾞｰ (ﾌｧｲﾝｸﾞﾚｰ) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007007,13F15099上枠ﾚｰﾙｶﾊﾞｰ(白木) L=2000,ｳﾜﾜｸﾚｰﾙｶﾊﾞ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007008,13F15099上枠ﾚｰﾙｶﾊﾞｰ (白木) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007009,13F16099上枠ﾚｰﾙｶﾊﾞｰ(ﾁｪﾘｰ) L=2000,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007010,13F16099上枠ﾚｰﾙｶﾊﾞｰ (ﾁｪﾘｰ) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007011,13F17099上枠ﾚｰﾙｶﾊﾞｰ(ｳｫｰﾙﾅｯﾄ) L=2000,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007012,13F17099上枠ﾚｰﾙｶﾊﾞｰ (ｳｫｰﾙﾅｯﾄ) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007013,13F18099上枠ﾚｰﾙｶﾊﾞｰ(ﾘｰｾﾝﾄｼﾙﾊﾞ)L=2000,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007014,13F18099上枠ﾚｰﾙｶﾊﾞｰ(ﾘｰｾﾝﾄｼﾙﾊﾞ)L=3000,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007015,13F18099上枠ﾚｰﾙｶﾊﾞ(ﾘｰｾﾝﾄｼﾙﾊﾞ)L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007016,上枠ﾚｰﾙｶﾊﾞｰ (ﾀﾞｰｸｳｯﾄﾞ) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007017,13F05099上枠ﾚｰﾙｶﾊﾞｰ W L=2000 栗･東,ｳﾜﾜｸﾚｰﾙｶﾊﾞ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007018,13F05099上枠ﾚｰﾙｶﾊﾞｰ W L=2000 相,ｳﾜﾜｸﾚｰﾙｶﾊﾞ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007019,13F12099上枠ﾚｰﾙｶﾊﾞｰ W L=3500 栗･東,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007020,13F12099上枠ﾚｰﾙｶﾊﾞｰ W L=3500 相,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I008001,13F02099ﾚｰﾙｶﾊﾞｰ(小),ﾚｰﾙｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I009001,175100AA補助縦枠(白) L=3650　道内,ﾎｼﾞｮﾀﾃﾜｸ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I009002,175100AA補助縦枠(白) L=3650　道外,ﾎｼﾞｮﾀﾃﾜｸ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I009003,175100AA補助縦枠 L=3650　色物道内,ﾎｼﾞｮﾀﾃﾜｸ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I009004,175100AA補助縦枠 L=3650　色物　道外,ﾎｼﾞｮﾀﾃﾜｸ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I010001,1770　ｶﾞｲﾄﾞﾚｰﾙAT,ｶﾞｲﾄﾞﾚｰﾙ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I010002,177020AA ｶﾞｲﾄﾞﾚｰﾙAT L=1760 W,31mm,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I010003,177020MMｶﾞｲﾄﾞﾚｰﾙAT(ﾁｪﾘｰ),ｶﾞｲﾄﾞﾚｰﾙ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I010004,177010　ｶﾞｲﾄﾞﾚｰﾙAT(色物),ｶﾞｲﾄﾞﾚｰﾙ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I010005,17700 ｶﾞｲﾄﾞﾚｰﾙAT木粉入,ｶﾞｲﾄﾞﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I011001,178000AA水切りｶﾊﾞｰ(W) L=2500　道内,ﾐｽﾞｷﾘｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I011002,178000AA水切りｶﾊﾞｰ(W) L=2500　道外,ﾐｽﾞｷﾘｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I012001,179000AA枠ｶﾊﾞｰ(白) L=1600,ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I012002,179000枠ｶﾊﾞｰL=1600 色物,ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I012003,179000　枠ｶﾊﾞｰL=1600 新色,ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I012004,枠ｶﾊﾞｰL=1600　(木粉入り),ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I012005,179000BB 枠ｶﾊﾞｰ L=1600 ｽﾁｰﾙﾌﾞﾗｯｸ,ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I013001,ｱｸｾﾝﾄｻｯｼ丸窓額縁用枠ｶﾊﾞｰ 白,ｱｸｾﾝﾄﾏﾙﾏﾄﾞ,式,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014001,179100AA内部ｶﾊﾞ- L=3650　道内,ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014002,179100AA内部ｶﾊﾞｰ L=3650　道外,ﾅｲﾌﾞｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014003,179100AA内部ｶﾊﾞｰ L=3650 色物　道内,ﾅｲﾌﾞｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014004,179100AA内部ｶﾊﾞｰ L=3650 色物　道外,ｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014005,179100BB 内部ｶﾊﾞｰ L=3650 ｽﾁｰﾙﾌﾞﾗｯｸ I,ﾅｲﾌﾞｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014006,179100BB 内部ｶﾊﾞｰ L=3650 ｽﾁｰﾙﾌﾞﾗｯｸ O,ｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015001,20043000戸当り気密材 枠用 ひれ式 I,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015002,20043000戸当り気密材 枠用 ひれ式 O,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015003,20043000戸当り気密材 ひれ状(ｼﾘｺﾝ) I,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015004,20043000戸当り気密材 ひれ状(ｼﾘｺﾝ) O,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015005,20043000戸当り気密材 ひれ状(袋付) I,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015006,20043000戸当り気密材枠用 ﾋﾚ式 袋付 O,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015007,MK20043000戸当り気密材 枠用 ひれ式,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I016001,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E　I,3-E,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I016002,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E　O,3-E,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I016003,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E(袋付) I,ｶﾞﾗｽﾋﾞｰﾄﾞ3,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I016004,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E(袋付) O,ｶﾞﾗｽﾋﾞｰﾄﾞ3,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I017001,20044100ｶﾞﾗｽﾋﾞｰﾄﾞ4.5ﾐﾘC　I,4.5,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I017002,20044100ｶﾞﾗｽﾋﾞｰﾄﾞ4.5ﾐﾘC　O,4.5,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I018001,20044200開き用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(3)-A I,ｶﾞﾗｽｵｻｴﾋﾞｰ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I018002,20044200開き用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(3)-A O,ｶﾞﾗｽｵｻｴﾋﾞｰ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I019001,20044300開きﾄﾘﾌﾟﾙ用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ I X,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I019002,20044300開きﾄﾘﾌﾟﾙ用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ O X,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I019003,20044300開きﾄﾘﾌﾟﾙ用ﾋﾞｰﾄﾞ (200m) I,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I019004,20044300開きﾄﾘﾌﾟﾙ用ﾋﾞｰﾄﾞ (200m) O,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I020001,20044500ｾﾝﾀｰｼｰﾙA L=2700 (軟質)ｱﾆｰﾙ済,ｾﾝﾀｰｼｰﾙA,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I020002,20044500ｾﾝﾀｰｼｰﾙA L=2700 運賃込,ｾﾝﾀｰｼｰﾙA,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I020011,200445HH ｾﾝﾀｰｼｰﾙA (ﾌﾞﾗｳﾝ) L=2700,ｾﾝﾀｰｼｰﾙA,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I021001,20053100下框排水ﾊﾟｲﾌﾟ L=61 本社100個,ｼﾀｶﾏﾁﾊｲｽｲ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I022001,20054000硝子受台8*25*40 A-40(ﾃｻ) I,A-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I022002,20054000硝子受台8*25*40 A-40(ﾃｻ) O,A-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
