仕入先ｺｰﾄﾞ,仕入先名１,仕入先名２,仕入先名略称,仕入先名索引,郵便番号,住所１住所２,電話番号,ＦＡＸ番号
701076,株式会社石狩環境ﾒﾝﾃﾅﾝｽｾﾝﾀｰ,,石狩環境ﾒﾝﾃﾅﾝｽｾﾝﾀｰ,ｲｼｶﾘｶﾝｷｮｳ,061-3242,石狩市新港中央3丁目750番地10,0133-64-6020,0133-64-6022
701081,今井ｺﾞﾑ■,,今井ｺﾞﾑ■,,,,,
701091,ｲﾜｲｻﾝﾌﾟﾙ■,,ｲﾜｲｻﾝﾌﾟﾙ■,,,,,
701096,協同組合石狩新港卸ｾﾝﾀｰ,,ｷｮｳｸﾐ石狩新港卸ｾﾝﾀｰ,ｲｼｶﾘｼﾝｺｳ,061-3241,石狩市新港西1丁目721,0133-73-7111,0133-73-7777
701101,いわさき■,,いわさき■,,,,,
701111,岩崎総合研究所■,,岩崎総合研究所■,,,,,
701116,有限会社ｲｽﾄ,,ｲｽﾄ,ｲｽﾄ,007-0820,札幌市東区東雁来町353番72,011-807-9471,011-807-9481
701121,岩本製作所■,,岩本製作所■,ｲﾜﾓﾄｾｲｻｸｼｮ,,,,
701125,伊勢運輸株式会社,,伊勢運輸,ｲｾｳﾝﾕ,061-3242,北海道石狩市新港中央3-762-2,0133-64-6171,
701135,ｲﾁｲ有限会社,,ｲﾁｲ,ｲﾁｲ,574-0042,大阪府大東市大野1丁目9-10,072-872-0519,072-874-0041
701146,有限会社ｲﾁｲﾂｰﾙ,,ｲﾁｲﾂｰﾙ,ｲﾁｲﾂｰﾙ,001-0909,北海道札幌市北区新琴似9条2丁目4番1-508号,011-763-9525,011-763-9525
701155,伊藤忠ﾌﾟﾗｽﾁｯｸｽ株式会社,,伊藤忠ﾌﾟﾗｽﾁｯｸｽ//,ｲﾄｳﾁｭｳﾌﾟﾗｽ,540-6028,大阪市中央区城見1-2-27大阪樹脂一部 販売一課,06-4794-7931,06-4794-7941
701166,株式会社伊藤電気商会,,伊藤電気商会,ｲﾄｳﾃﾞﾝｷｼｮｳ,,,,
701185,稲畑産業株式会社,,稲畑産業//,ｲﾅﾊﾞﾀｻﾝｷﾞｮ,542-0081,大阪市中央区南船場1丁目15-14 合成樹脂第一本部,06-6267-6256,06-6267-6030
701191,ｲﾑﾗｻﾝﾌﾟﾙ□,,ｲﾑﾗｻﾝﾌﾟﾙ■,,,,,
701196,株式会社ｲｰ･ﾅｯｸ,,ｲｰ･ﾅｯｸ,ｲｰﾅｯｸ,007-0837,札幌市東区北37条東7丁目2-11,011-741-5521,011-712-4884
702021,ｳﾗﾉ■,,ｳﾗﾉ■,,,,,
702025,ｳｨﾙﾊﾞｰ･ｴﾘｽ株式会社,,ｳｨﾙﾊﾞｰ･ｴﾘｽ,ｳｨﾙﾊﾞｰｴﾘｽ,105-0022,東京都港区海岸1丁目-9-1 浜離宮ｲﾝﾀｰｼﾃｨ4F,03-6402-6300,03-6402-6340
703016,北海道ｴｱ･ｳｵｰﾀｰ株式会社,札幌西営業所,北海道道ｴｱ･ｳｵｰﾀｰ札幌,ｴｱｳｵｰﾀｰｻｯﾎ,061-3241,北海道石狩市新港西3丁目750番地,0133-73-3790,0133-73-5059
703021,永和■,,永和■,,,,,
703026,ｴｱ･ｳｫｰﾀｰ株式会社,,ｴｱ･ｳｫｰﾀｰ,ｴｱｳｵｰﾀｰ,105-0001,東京都港区虎ノ門3丁目18番19号,03-3578-7824,03-3578-7828
703032,ｴｰｽﾗｹﾞｰｼﾞ■,,ｴｰｽﾗｹﾞｰｼﾞ■,,,,,
703035,有限会社栄光電子工業,,栄光電子工業,ｴｲｺｳﾃﾞﾝｼ,571-0017,大阪府門真市四宮3丁目8-19,072-881-2755,072-881-2145
703056,有限会社HBS,(ｻﾑｿﾝ蒸気ﾎﾞｲﾗ販売施工･保守店),HBS,ｴｲﾁﾋﾞｰ,062-0931,札幌市豊平区平岸1条15丁目5-28,011-842-1144,011-842-1039
703066,永和化成工業株式会社,,永和化成工業,ｴｲﾜｶｾｲ,101-0032,東京都千代田区岩本町１丁目2-11北村ﾋﾞﾙ4階,03-3866-9251,
703071,エムテクノ㈱　■,,エムテクノ㈱,,,,,
703085,株式会社ｴｰﾋﾞｰｼｽﾃﾑ 福島本社,,ｴｰﾋﾞｰｼｽﾃﾑ,ｴｰﾋﾞｰｼｽﾃﾑ,969-0101,福島県西白河郡泉崎村泉崎村第一工業団地,0248-54-1010,0248-53-4005
703092,株式会社ｴﾑ･ﾏﾂﾊﾞﾗ ■,,ｴﾑ･ﾏﾂﾊﾞﾗ,ｶﾌﾞｼｷｶﾞｲｼｬ,,,,
703095,株式会社ｴｼﾛ化学,,ｴｼﾛ化学,ｴｼﾛｶｶﾞｸ,538-0041,大阪市鶴見区今津北2-6-26,06-6961-0088,06-6962-8620
703106,株式会社ｴｽｱｰﾙｴｽ,,ｴｽｱｰﾙｴｽ,ｴｽｱｰﾙｴｽ,581-0037,大阪府八尾市太田1-162-11,072-948-6677,072-948-6668
703125,ｴﾑｽﾘｰ,,ｴﾑｽﾘｰ,ｴﾑｽﾘｰ,631-0002,奈良県奈良市東登美ケ丘2-7-2,0742-47-6861,
703131,興和江守株式会社,,興和江守株式会社,ｺｳﾜｴﾓﾘ,918-8001,福井県福井市毛矢1-6-23,0776-36-6526,0776-36-6571
703135,株式会社ｴﾑﾃｨｰｱｲ,,ｴﾑﾃｨｰｱｲ,ｴﾑﾃｨｰｱｲ,163-1435,東京都新宿区西新宿3-20-2 東京ｵﾍﾟﾗｼﾃｨ35F,03-5333-6789,03-5333-6791
703155,株式会社M＆E,,M＆E,ｴﾑｱﾝﾄﾞｲｰ,114-0014,東京都北区田端1-18-15,03-6323-4681,03-6385-0468
703156,株式会社AWA,,AWA,ｴｰﾀﾞﾌﾞ,350-0128,埼玉県比企郡川島町白井沼454-5,049-299-7907,049-299-7908
704016,有限会社笈川刃物工業,,笈川刃物工業,ｵｲｶﾜﾊﾓﾉ,047-0261,小樽市銭函3丁目135-9,0134-62-2210,0134-62-2867
704026,株式会社ｵｲﾙﾀｰﾐﾅﾙ 石狩ｾﾝﾀｰ,,ｵｲﾙﾀｰﾐﾅﾙ,ｵｲﾙﾀｰﾐﾅﾙ,061-3241,石狩市新港西1丁目703-11,0133-75-8822,0133-75-8823
704031,大吉ﾌﾟﾗｽﾁｯｸ工業株式会社,,大吉ﾌﾟﾗｽﾁｯｸ工業株式会社,,,,,
704041,AUTHENTIC TRADE株式会社,,AUTHENTIC TRADE,ｵｰｾﾝﾃｨｯｸﾄﾚ,636-0815,奈良県生駒郡三郷町勢野北4-8-39,090-8528-7336,0745-60-6881
704046,ｵｶﾍﾞﾏｰｷﾝｸﾞｼｽﾃﾑ㈱ 札幌営業所,,ｵｶﾍﾞﾏｰｷﾝｸﾞｼｽﾃﾑ,ｵｶﾍﾞﾏｰｷﾝｸﾞ,064-0806,北海道札幌市中央区南六条西1-5 6.1ﾋﾞﾙ 5階,011-562-3525,011-562-8280
704055,大阪塩ﾋﾞ株式会社,,大阪塩ﾋﾞ,ｵｵｻｶｴﾝﾋﾞ,584-0024,富田林市若松町4丁目12-15,0721-24-0074,0721-24-2083
704065,大阪特殊刃物株式会社,,大阪特殊刃物,ｵｵｻｶﾄｸｼｭ,583-0008,藤井寺市大井2丁目5-35,0729-39-5800,0729-39-6610
704075,大谷労務管理事務所,,大谷労務管理事務所,ｵｵﾀﾆﾛｳﾑｶﾝﾘ,577-0802,大阪府東大阪市小阪本町1-1-32大一ﾋﾞﾙ2F,06-4307-7777,06-4307-7778
704082,使用ｼﾅｲ,,大吉ﾌﾟﾗｽﾁｯｸ工業,ｵｵﾖｼﾌﾟﾗｽﾁｯ,578-0941,大阪府東大阪市岩田町6丁目7-25,072-964-9858,072-964-9859
704085,株式会社大塚商会,,大塚商会,ｵｵﾂｶｼｮｳｶｲ,553-0003,大阪府大阪市福島区福島6-14-1,06-6456-2664,06-6456-2774
704141,株式会社ｵｻﾀﾞｺｰﾎﾟﾚｰｼｮﾝ,,ｵｻﾀﾞｺｰﾎﾟﾚｰｼｮﾝ,ｵｻﾀﾞｺｰﾎﾟﾚｰ,251-0871,神奈川県藤沢市善行1-6-1,0466-47-7546,0466-47-7284
704145,岡畑産業株式会社,,岡畑産業,ｵｶﾊﾀｻﾝｷﾞｮｳ,542-0081,大阪府大阪市中央区南船場1-7-11,06-6262-0641,06-6266-0458
704165,株式会社小椋商店,,小椋商店,ｵｸﾞﾗｼｮｳﾃﾝ,556-0006,大阪市浪速区日本橋東3-10-5,06-6631-1901,06-6631-7908
704175,株式会社荻野精機製作所,,荻野精機製作所,ｵｷﾞﾉ,335-0001,埼玉県蕨市北町3-7-19,048-443-2211,048-443-2214
704201,岡安ｺﾞﾑ株式会社■,,岡安ｺﾞﾑ株式会社■,,,,,
710011,角一化成株式会社,,角一化成,ｶｸｲﾁｶｾｲ,564-0051,大阪府吹田市豊津町31番10号,06-6380-3901,06-6380-3914
710021,化成品産業株式会社,,化成品産業,ｶｾｲﾋﾝｻﾝｷﾞｮ,630-0121,奈良県生駒市北大和4-1-5,0743-79-5600,0743-79-5603
710035,ｶﾀｵｶｼｭｳｿﾞｳ（西光電気工業所,,ｶﾀｵｶｼｭｳｿﾞｳ（西光電気,ｶﾀｵｶｼｭｳｿﾞｳ,578-0983,東大阪市吉田下島2-8,0729-62-8638,0729-63-1369
710045,株式会社ｶﾀ技術,,ｶﾀ技術,ｶﾀｷﾞｼﾞｭﾂ,571-0042,大阪府門真市深田町9-8,06-6908-9179,06-6906-5362
710066,ｶﾈﾊﾟｯｹｰｼﾞ株式会社,,ｶﾈﾊﾟｯｹｰｼﾞ,ｶﾈﾊﾟｯｹｰｼﾞ,358-0046,埼玉県入間市南峯1095-15,04-2936-3031,04-2936-3036
710085,株式会社秋山化学工業所,,秋山化学工業所,ｱｷﾔﾏｶｶﾞｸｺｳ,544-0004,大阪府大阪市生野区巽北1丁目13-23,06-6751-4887,06-6751-4888
710105,加美ｺﾝﾋﾟｭｰﾀｰｻｰﾋﾞｽ株式会社,,加美ｺﾝﾋﾟｭｰﾀｰｻｰﾋﾞｽ,ｶﾐｺﾝﾋﾟｭｰﾀｰ,547-0005,大阪市平野区加美西2丁目6-1,06-6792-6480,06-6794-5850
710115,ｶﾓﾄ金型有限会社,,ｶﾓﾄ金型//,ｶﾓﾄｶﾅｶﾞﾀ,578-0903,大阪府東大阪市今米1-15-32,0729-63-7849,0729-62-6213
710125,河内機械,,河内機械,ｶﾜﾁｷｶｲ,578-0975,東大阪市中鴻池町2丁目2番6号,06-6744-0001,06-6744-1213
710136,川股機械製作所,,川股機械製作所,ｶﾜﾏﾀｷｶｲｾｲｻ,066-0052,千歳市文京1丁目2-6-205,070-5615-7591,0123-28-1225
710145,関西ﾌｧｽﾅｰ株式会社,,関西ﾌｧｽﾅｰ,ｶﾝｻｲﾌｧｽﾅｰ,561-0859,大阪府豊中市服部豊町2-3-19,06-6868-2365,06-6868-2365
710155,株式会社関西ﾏﾂﾀﾞ 守口店,,関西ﾏﾂﾀﾞ守口店,ｶﾝｻｲﾏﾂﾀﾞ,570-0021,守口市八雲東町2-78-33,06-6909-1152,06-6909-6663
710165,使用ｼﾅｲ,,使用ｼﾅｲ 環商事,ｶﾝｼｮｳｼﾞ,72,北海道美唄市東6条北5-3-1,01266-2-6621,01266-3-3912
710176,株式会社環商事,,環商事,ｶﾝｼｮｳｼﾞ,001-0932,札幌市北区新川西2条1丁目4-15,,
711055,株式会社北川商店,,北川商店,ｷﾀｶﾞﾜｼｮｳﾃ,574-0077,大阪府大東市三箇3-11-45,072-875-2381,072-875-2382
711076,北村化学産業株式会社//,,北村化学産業//,ｷﾀﾑﾗ,004-0041,札幌市厚別区大谷地東１丁目3-23山勇ﾋﾞﾙ3F,011-801-3322,011-801-3323
711082,使用しない,,使用しない,ｷｽｺ,541-8513,大阪府大阪市中央区伏見町3丁目3-7,06-6202-2261,06-6222-5217
711085,KISCO株式会社,,KISCO 東京,ｷｽｺ,,東京都中央区日本橋本町4-11-2dix事業部 dixﾁｰﾑ,,
711091,KISCO株式会社,,KISCO 大阪,ｷｽｺ,541-8513,大阪市中央区伏見町3-3-7 大阪化学品部dixﾁｰﾑ ﾀﾞｲﾏｰ&ｺｰ,06-6202-2265,06-6222-3098
711095,ｷﾉｼﾀﾐｷｵ（大東金型製作所,,ｷﾉｼﾀﾐｷｵ（大東金型製,ｷﾉｼﾀﾐｷｵ,574-0064,大阪府大東市御領3丁目390-2,072-871-6973,072-871-6973
711105,QAｼｽﾃﾑｽﾞ 前田秀雄,,QAｼｽﾃﾑｽﾞ 前田秀雄,ｷｭｰｴｰｼｽﾃﾑｽ,535-0003,大阪市旭区中宮1丁目12-14,06-6952-0123,
711116,株式会社協栄樹脂製作所,茨城工場,協栄樹脂製作所,ｷｮｳｴｲｼﾞｭｼ,306-0411,茨城県猿島郡境町下砂井440,0280-87-1311,0280-87-1312
711125,株式会社北畑鉄工所,,株式会社北畑鉄工所,ｷﾀﾊﾀﾃｯｺｳ,915-0054,福井県越前市小野谷町33-3-1,0778-23-5650,0778-23-5640
711135,使用ｼﾅｲ 現金 旭東事務機販売,,旭東事務機販売,ｷｮｸﾄｳｼﾞﾑｷ,532-0031,大阪市淀川区加島1丁目56-13,06-6393-0563,
712015,国松株式会社,,国松,ｸﾆﾏﾂ,538-0054,大阪府大阪市鶴見区緑2-6-12,06-6911-1591,06-6911-8650
712025,國本素子（東穂加工,,國本素子（東穂加工,ｸﾆﾓﾄ,619-1127,京都府木津川市南加茂台4-3-1,0774-76-6916,0774-76-6916
712031,ｸﾗﾚﾌｧｽﾆﾝｸﾞ株式会社,,ｸﾗﾚﾌｧｽﾆﾝｸﾞ,ｸﾗﾚﾌｧｽﾆﾝｸﾞ,530-8611,大阪府大阪市北区角田町8-1梅田阪急ﾋﾞﾙｵﾌｨｽﾀﾜｰ,06-7635-1868,06-7635-1860
712035,ｸﾗﾚﾄﾚｰﾃﾞｨﾝｸﾞ株式会社,大阪ｴﾗｽﾄﾏｰG,ｸﾗﾚﾄﾚｰﾃﾞｨﾝｸﾞ,ｸﾗﾚﾄﾚｰﾃﾞｨﾝ,530-8611,大阪府大阪市北区角田町８番１号梅田阪急ﾋﾞﾙｵﾌｨｽﾀﾜｰ39階,06-7635-1800,06-7635-1983
712045,株式会社ｸﾎﾞﾀｹﾐｯｸｽ,,㈱ｸﾎﾞﾀｹﾐｯｸｽ,ｸﾎﾞﾀｹﾐｯｸｽ,103-0007,東京都中央区日本橋浜町3丁目3番2号,03-5695-3274,
713021,㈱ケイケイ　■,,㈱ケイケイ　■,,,,,
714011,株式会社ｺﾞｳﾀﾞ,神戸事業所,ｺﾞｳﾀﾞ,ｺﾞｳﾀﾞ,651-0087,神戸市中央区御幸通7-1-15,078-251-2451,078-251-2456
714015,使用ｼﾅｲ ｺｰｶﾞｱｲｿﾄｰﾌﾟ,,使用ｼﾅｲ,ｺｰｶﾞｱｲｿﾄｰﾌ,520-3404,滋賀県甲賀市甲賀町神保甲賀町神保53-6,0748-88-3125,0748-88-2296
714016,株式会社ｺｰｶﾞｱｲｿﾄｰﾌﾟ,,ｺｰｶﾞｱｲｿﾄｰﾌﾟ,ｺｰｶﾞｱｲｿﾄｰﾌ,520-3404,滋賀県甲賀市甲賀町神保53-6,0748-88-3125,0748-88-2296
714025,株式会社工販,,工販,ｺｳﾊﾝ,651-0061,兵庫県神戸市中央区上筒井通3-5-5,078-242-1556,078-221-2391
714036,高新木材株式会社,,高新木材,ｺｳｼﾝﾓｸｻﾞｲ,006-0832,札幌市手稲区曙2条3丁目1-28,011-681-4315,011-694-0505
714055,高分子計器株式会社,,高分子計器,ｺｳﾌﾞﾝｼｹｲｷ,602-8027,京都市上京区下立売通室町西入,075-414-1411,075-431-0661
714065,工販,,工販,,,,,
714076,ｺｰﾝｽﾞ ﾄﾞｯﾄｳｪﾙ ｺｰﾃﾞｨﾝｸﾞ株式会社,,ｺｰﾝｽﾞ ﾄﾞｯﾄｳｪﾙ ｺｰﾃﾞｨﾝ,ｺｰﾝｽﾞ,150-8451,東京都渋谷区東3-16-3ｴﾌ･ﾆｯｾﾝ恵比寿ﾋﾞﾙ,03-3797-1310,03-3797-1270
714081,株式会社ｺｽﾓﾄﾚｰﾃﾞｨﾝｸﾞ,,ｺｽﾓﾄﾚｰﾃﾞｨﾝｸﾞ,ｺｽﾓﾄﾚｰﾃﾞｨﾝ,541-0044,大阪府大阪市中央区伏見町2-1-1三井住友ﾋﾞﾙ9階,06-4707-6366,06-4707-0111
714085,ｺｽﾓ石油販売㈱ 大阪ｶﾝﾊﾟﾆｰ,,ｺｽﾓ石油販売 大阪,ｺｽﾓｾｷﾕﾊﾝﾊﾞ,550-0005,大阪市西区西本町2-3-6山岡ﾋﾞﾙ,06-4390-3306,
714105,ｺｽﾓﾎﾟﾘﾏｰ株式会社,,ｺｽﾓﾎﾟﾘﾏｰ,ｺｽﾓﾎﾟﾘﾏｰ,630-8276,奈良市北半田西町14-3,0742-26-3372,
714116,株式会社小山商店//,,小山商店//,ｺﾔﾏｼｮｳﾃﾝ,020-0125,岩手県盛岡市上堂4丁目11-21,019-646-9162,019-647-7765
720015,斉藤株式会社,,斉藤株式会社,ｻｲﾄｳｶﾌﾞｼｷｶ,577-0006,大阪府東大阪市楠根2丁目6-8,06-6745-0221,06-6744-3110
720016,ｻｶｲｵｰﾍﾞｯｸｽ株式会社,,ｻｶｲｵｰﾍﾞｯｸｽ,ｻｶｲｵｰﾍﾞｯｸｽ,918-8530,福井市花堂中2丁目15-1,0776-36-5800,
720025,栄金属製作所,,栄金属製作所,ｻｶｴ ｷﾝｿﾞｸｾ,,八尾市楠根町5丁目73番地,072-999-3901,072-997-4493
720045,坂下仁志（JINTECH）,,坂下仁志（JINTECH）,ｻｶｼﾀﾋﾄｼ,592-0005,大阪府高石市千代田２－１５－８,072-262-4401,
720046,株式会社栄ﾗｲﾄ工業所,,栄ﾗｲﾄ工業所,ｻｶｴﾗｲﾄ,574-0052,大阪府大東市新田北町1番18号,072-871-3841,072-874-2756
720052,株式会社札幌ｺﾞﾑ,,札幌ｺﾞﾑ,ｻｯﾎﾟﾛｺﾞﾑ,063-0835,札幌市西区発寒15条12丁目2-45,011-666-5656,011-666-3232
720055,佐川急便株式会社 大阪,,佐川急便 大阪,ｻｶﾞﾜｷｭｳﾋﾞﾝ,578-0973,大阪府東大阪市東鴻池町2-2-74,0729-65-1111,0729-64-0043
720066,佐川急便株式会社 北海道,,佐川急便 北海道,ｻｶﾞﾜｷｭｳﾋﾞﾝ,,,,
720075,崎山加工所,,崎山加工所,ｻｷﾔﾏｶｺｳｼｮ,577-0831,大阪府東大阪市俊徳町2丁目4-3,06-6729-6471,
720086,札樽自動車運輸株式会社,,札樽自動車運輸,ｻｯｿﾝ,063-0837,札幌市西区発寒17条13丁目1-63,011-664-1311,011-664-5020
720096,ｻﾝ･ｱﾛｰ化成株式会社,,ｻﾝ･ｱﾛｰ化成,ｻﾝｱﾛｰ,541-0041,大阪府大阪市北区中之島2丁目2-7中之島ｾﾝﾄﾗﾙﾀﾜｰ19階,06-6204-0679,06-6228-0165
720106,株式会社札幌谷藤,,札幌谷藤,ｻｯﾎﾟﾛﾀﾆﾌｼﾞ,007-0868,札幌市東区伏古8条3丁目5-7,011-781-6665,011-782-5638
720116,札幌通運株式会社 (ｺﾝﾃﾅ便),,札幌通運(ｺﾝﾃﾅ便),ｻｯﾎﾟﾛﾂｳｳﾝ,003-0030,札幌市白石区流通ｾﾝﾀｰ2-1-1通運部,011-864-16666,011-865-7242
720121,三協化工株式会社,,三協化工,ｻﾝｷｮｳｶｺｳ,547-0001,大阪市平野区加美北6-2-22,06-6792-6825,06-6793-6200
720126,札幌通運株式会社,,札幌通運,ｻｯﾎﾟﾛﾂｳｳﾝ,003-0030,札幌市白石区流通ｾﾝﾀｰ5-1-10,011-862-2772,011-862-2540
720131,ｻﾝｴｰ■,,ｻﾝｴｰ■,,,,,
720136,札幌通運株式会社 滝川営業所,,札幌通運滝川営業所,ｻｯﾎﾟﾛﾂｳｳﾝ,073-0025,滝川市流通団地3丁目7番21号,0125-24-3232,0125-22-1540
720141,株式会社ｻｸﾗｸﾚﾊﾟｽ□,,株式会社ｻｸﾗｽﾚﾊﾟｽ,ｶﾌﾞｼｷｶﾞｲｼｬ,578-0901,大阪府東大阪市加納7-18-47,072-873-5509,072-873-6070
720146,札幌日産自動車株式会社,,札幌日産自動車,ｻｯﾎﾟﾛﾆｯｻﾝ,006-0023,札幌市手稲区手稲本町3条3丁目,011-683-4123,
720156,佐藤包装紙器株式会社//,,佐藤包装紙器//,ｻﾄｳﾎｳｿｳｼｷ,063-0861,札幌市西区八軒1条東5丁目,011-641-5050,011-641-5071
720225,株式会社ｻﾝｴｰ製作所,,ｻﾝｴｰ製作所,ｻﾝｴｰｾｲｻｸｼｮ,,摂津市鳥飼本町3-11-21,072-653-0901,072-653-3422
720235,有限会社三輝化成,,三輝化成//,ｻﾝｷｶｾｲ,579-8025,大阪府東大阪市宝町9番37号,0729-84-6521,0729-81-7233
720252,株式会社三機製作所,,三機製作所,ｻﾝｷｾｲｻｸｼﾞｮ,636-1121,奈良県大和郡山市杉町39-3,0743-59-1037,0743-59-1047
720275,三共商事株式会社,,三共商事,ｻﾝｷｮｳｼｮｳｼﾞ,530-0041,大阪市北区天神橋1丁目7-15 ﾋﾞｱﾘｯﾂ天神橋3F,06-6353-3591,06-6353-3573
